Group,Sex,Weight,Mat-Time,Growth-Rate
New-Sham,F,545,53,10.28302
New-Sham,F,403,54,7.462963
New-Sham,F,467,54,8.648148
New-Sham,F,436,54,8.074074
New-Sham,F,417,54,7.722222
New-Sham,F,442,54,8.185185
New-Sham,F,394,54,7.296296
New-Sham,F,419,54,7.759259
New-Sham,F,410,54,7.592593
New-Sham,F,498,54,9.222222
New-Sham,F,495,54,9.166667
New-Sham,F,506,54,9.37037
New-Sham,F,347,54,6.425926
New-Sham,F,553,54,10.24074
New-Sham,F,527,54,9.759259
New-Sham,F,442,54,8.185185
New-Sham,F,421,54,7.796296
New-Sham,F,509,54,9.425926
New-Sham,F,542,54,10.03704
New-Sham,F,513,55,9.327273
New-Sham,F,482,55,8.763636
New-Sham,F,425,55,7.727273
New-Sham,F,440,55,8
New-Sham,F,466,55,8.472727
New-Sham,F,471,55,8.563636
New-Sham,F,495,55,9
New-Sham,F,537,55,9.763636
New-Sham,F,472,55,8.581818
New-Sham,F,381,55,6.927273
New-Sham,F,411,55,7.472727
New-Sham,F,413,56,7.375
New-Sham,F,538,56,9.607143
New-Sham,F,458,56,8.178571
New-Sham,F,608,58,10.48276
New-Sham,F,511,60,8.516667
New-Sham,F,537,60,8.95
New-Sham,F,567,61,9.295082
New-23.2,M,383,46,8.326087
New-23.2,M,318,47,6.765957
New-23.2,M,394,47,8.382979
New-23.2,M,476,48,9.916667
New-23.2,M,422,49,8.612245
New-23.2,M,459,50,9.18
New-23.2,M,401,50,8.02
New-23.2,M,415,50,8.3
New-23.2,M,458,50,9.16
New-23.2,M,427,50,8.54
New-23.2,M,468,50,9.36
New-23.2,M,433,50,8.66
New-23.2,M,495,50,9.9
New-23.2,M,422,50,8.44
New-23.2,M,433,50,8.66
New-23.2,M,432,50,8.64
New-23.2,M,397,50,7.94
New-23.2,M,472,50,9.44
New-23.2,M,431,51,8.45098
New-23.2,M,423,51,8.294118
New-23.2,M,406,51,7.960784
New-23.2,M,476,51,9.333333
New-23.2,M,401,51,7.862745
New-23.2,M,492,51,9.647059
New-23.2,M,497,51,9.745098
New-23.2,M,441,51,8.647059
New-23.2,M,485,51,9.509804
New-23.2,M,475,51,9.313725
New-23.2,M,464,51,9.098039
New-23.2,M,479,52,9.211538
New-23.2,M,389,52,7.480769
New-23.2,M,437,52,8.403846
New-23.2,M,409,52,7.865385
New-23.2,M,524,52,10.07692
New-23.2,M,443,52,8.519231
New-23.2,M,421,52,8.096154
New-23.2,M,410,52,7.884615
New-23.2,M,419,52,8.057692
New-23.2,M,457,52,8.788462
New-23.2,M,429,52,8.25
New-23.2,M,434,52,8.346154
New-23.2,M,397,52,7.634615
New-23.2,M,412,52,7.923077
New-23.2,M,449,53,8.471698
New-23.2,M,435,53,8.207547
New-23.2,M,388,53,7.320755
New-23.2,M,422,53,7.962264
New-23.2,M,407,53,7.679245
New-23.2,M,480,53,9.056604
New-23.2,M,432,53,8.150943
New-23.2,M,441,53,8.320755
New-23.2,M,432,53,8.150943
New-23.2,M,459,53,8.660377
New-23.2,M,420,53,7.924528
New-23.2,M,428,53,8.075472
New-23.2,M,471,53,8.886792
New-23.2,M,359,53,6.773585
New-23.2,M,378,53,7.132075
New-23.2,M,498,53,9.396226
New-23.2,M,426,53,8.037736
New-23.2,M,440,53,8.301887
New-23.2,M,380,54,7.037037
New-23.2,M,424,54,7.851852
New-23.2,M,515,54,9.537037
New-23.2,M,442,54,8.185185
New-23.2,M,408,55,7.418182
New-23.2,M,509,58,8.775862
New-23.2,M,486,59,8.237288
New-23.2,M,443,60,7.383333
New-23.2,F,376,45,8.355556
New-23.2,F,450,46,9.782609
New-23.2,F,489,46,10.63043
New-23.2,F,429,47,9.12766
New-23.2,F,449,48,9.354167
New-23.2,F,423,48,8.8125
New-23.2,F,481,49,9.816327
New-23.2,F,506,49,10.32653
New-23.2,F,446,49,9.102041
New-23.2,F,460,49,9.387755
New-23.2,F,567,49,11.57143
New-23.2,F,497,49,10.14286
New-23.2,F,476,49,9.714286
New-23.2,F,407,49,8.306122
New-23.2,F,473,49,9.653061
New-23.2,F,438,49,8.938776
New-23.2,F,414,49,8.44898
New-23.2,F,416,50,8.32
New-23.2,F,479,50,9.58
New-23.2,F,519,50,10.38
New-23.2,F,510,50,10.2
New-23.2,F,550,50,11
New-23.2,F,478,50,9.56
New-23.2,F,468,50,9.36
New-23.2,F,511,50,10.22
New-23.2,F,468,50,9.36
New-23.2,F,561,50,11.22
New-23.2,F,503,50,10.06
New-23.2,F,463,50,9.26
New-23.2,F,505,50,10.1
New-23.2,F,521,50,10.42
New-23.2,F,513,50,10.26
New-23.2,F,525,50,10.5
New-23.2,F,470,50,9.4
New-23.2,F,535,50,10.7
New-23.2,F,449,51,8.803922
New-23.2,F,432,51,8.470588
New-23.2,F,461,51,9.039216
New-23.2,F,457,51,8.960784
New-23.2,F,429,51,8.411765
New-23.2,F,528,51,10.35294
New-23.2,F,386,51,7.568627
New-23.2,F,536,51,10.5098
New-23.2,F,488,51,9.568627
New-23.2,F,548,51,10.7451
New-23.2,F,452,52,8.692308
New-23.2,F,486,52,9.346154
New-23.2,F,468,52,9
New-23.2,F,401,52,7.711538
New-23.2,F,519,52,9.980769
New-23.2,F,482,52,9.269231
New-23.2,F,347,52,6.673077
New-23.2,F,502,52,9.653846
New-23.2,F,441,52,8.480769
New-23.2,F,456,53,8.603774
New-23.2,F,410,53,7.735849
New-23.2,F,477,56,8.517857
New-23.2,F,494,57,8.666667
New-69.6,M,483,49,9.857143
New-69.6,M,409,50,8.18
New-69.6,M,455,50,9.1
New-69.6,M,446,50,8.92
New-69.6,M,406,50,8.12
New-69.6,M,389,50,7.78
New-69.6,M,487,50,9.74
New-69.6,M,373,50,7.46
New-69.6,M,440,50,8.8
New-69.6,M,484,50,9.68
New-69.6,M,483,51,9.470588
New-69.6,M,366,51,7.176471
New-69.6,M,386,51,7.568627
New-69.6,M,474,51,9.294118
New-69.6,M,410,51,8.039216
New-69.6,M,431,51,8.45098
New-69.6,M,387,51,7.588235
New-69.6,M,499,51,9.784314
New-69.6,M,440,51,8.627451
New-69.6,M,386,51,7.568627
New-69.6,M,453,51,8.882353
New-69.6,M,455,51,8.921569
New-69.6,M,437,51,8.568627
New-69.6,M,464,51,9.098039
New-69.6,M,443,51,8.686275
New-69.6,M,379,51,7.431373
New-69.6,M,400,51,7.843137
New-69.6,M,408,51,8
New-69.6,M,431,52,8.288462
New-69.6,M,437,52,8.403846
New-69.6,M,425,52,8.173077
New-69.6,M,403,52,7.75
New-69.6,M,484,52,9.307692
New-69.6,M,465,52,8.942308
New-69.6,M,404,52,7.769231
New-69.6,M,486,52,9.346154
New-69.6,M,482,52,9.269231
New-69.6,M,435,52,8.365385
New-69.6,M,445,53,8.396226
New-69.6,M,460,53,8.679245
New-69.6,M,464,53,8.754717
New-69.6,M,462,53,8.716981
New-69.6,M,454,53,8.566038
New-69.6,M,470,53,8.867925
New-69.6,M,342,53,6.45283
New-69.6,M,389,53,7.339623
New-69.6,M,455,53,8.584906
New-69.6,M,472,53,8.90566
New-69.6,M,456,53,8.603774
New-69.6,M,439,54,8.12963
New-69.6,M,453,54,8.388889
New-69.6,M,388,54,7.185185
New-69.6,M,423,54,7.833333
New-69.6,M,417,54,7.722222
New-69.6,M,492,54,9.111111
New-69.6,M,480,54,8.888889
New-69.6,M,463,56,8.267857
New-69.6,F,429,44,9.75
New-69.6,F,359,44,8.159091
New-69.6,F,528,47,11.23404
New-69.6,F,423,48,8.8125
New-69.6,F,440,48,9.166667
New-69.6,F,496,48,10.33333
New-69.6,F,518,49,10.57143
New-69.6,F,490,49,10
New-69.6,F,437,49,8.918367
New-69.6,F,506,49,10.32653
New-69.6,F,450,49,9.183673
New-69.6,F,411,49,8.387755
New-69.6,F,459,49,9.367347
New-69.6,F,467,49,9.530612
New-69.6,F,388,49,7.918367
New-69.6,F,501,50,10.02
New-69.6,F,431,50,8.62
New-69.6,F,570,50,11.4
New-69.6,F,507,50,10.14
New-69.6,F,449,50,8.98
New-69.6,F,466,50,9.32
New-69.6,F,576,50,11.52
New-69.6,F,471,50,9.42
New-69.6,F,513,50,10.26
New-69.6,F,426,50,8.52
New-69.6,F,416,50,8.32
New-69.6,F,475,51,9.313725
New-69.6,F,404,51,7.921569
New-69.6,F,464,51,9.098039
New-69.6,F,431,51,8.45098
New-69.6,F,530,51,10.39216
New-69.6,F,462,51,9.058824
New-69.6,F,399,52,7.673077
New-69.6,F,509,52,9.788462
New-69.6,F,497,52,9.557692
New-69.6,F,432,53,8.150943
New-69.6,F,560,53,10.56604
New-69.6,F,454,53,8.566038
New-69.6,F,496,53,9.358491
New-69.6,F,619,59,10.49153
Previous-Sham,M,361,47,7.680851
Previous-Sham,M,383,49,7.816327
Previous-Sham,M,459,49,9.367347
Previous-Sham,M,455,50,9.1
Previous-Sham,M,465,50,9.3
Previous-Sham,M,495,50,9.9
Previous-Sham,M,411,50,8.22
Previous-Sham,M,422,50,8.44
Previous-Sham,M,457,50,9.14
Previous-Sham,M,441,51,8.647059
Previous-Sham,M,418,51,8.196078
Previous-Sham,M,439,51,8.607843
Previous-Sham,M,438,51,8.588235
Previous-Sham,M,427,51,8.372549
Previous-Sham,M,406,51,7.960784
Previous-Sham,M,420,51,8.235294
Previous-Sham,M,521,51,10.21569
Previous-Sham,M,417,51,8.176471
Previous-Sham,M,412,51,8.078431
Previous-Sham,M,399,51,7.823529
Previous-Sham,M,439,51,8.607843
Previous-Sham,M,399,51,7.823529
Previous-Sham,M,424,51,8.313725
Previous-Sham,M,486,52,9.346154
Previous-Sham,M,416,52,8
Previous-Sham,M,455,52,8.75
Previous-Sham,M,447,52,8.596154
Previous-Sham,M,435,52,8.365385
Previous-Sham,M,429,52,8.25
Previous-Sham,M,433,52,8.326923
Previous-Sham,M,423,52,8.134615
Previous-Sham,M,370,52,7.115385
Previous-Sham,M,453,52,8.711538
Previous-Sham,M,391,52,7.519231
Previous-Sham,M,463,52,8.903846
Previous-Sham,M,471,52,9.057692
Previous-Sham,M,451,52,8.673077
Previous-Sham,M,405,52,7.788462
Previous-Sham,M,429,52,8.25
Previous-Sham,M,456,52,8.769231
Previous-Sham,M,420,53,7.924528
Previous-Sham,M,398,53,7.509434
Previous-Sham,M,407,53,7.679245
Previous-Sham,M,479,53,9.037736
Previous-Sham,M,431,53,8.132075
Previous-Sham,M,485,53,9.150943
Previous-Sham,M,464,53,8.754717
Previous-Sham,M,410,53,7.735849
Previous-Sham,M,435,53,8.207547
Previous-Sham,M,494,53,9.320755
Previous-Sham,M,443,53,8.358491
Previous-Sham,M,426,53,8.037736
Previous-Sham,M,427,53,8.056604
Previous-Sham,M,462,53,8.716981
Previous-Sham,M,436,53,8.226415
Previous-Sham,M,519,53,9.792453
Previous-Sham,M,434,53,8.188679
Previous-Sham,M,400,53,7.54717
Previous-Sham,M,397,53,7.490566
Previous-Sham,M,408,54,7.555556
Previous-Sham,M,400,54,7.407407
Previous-Sham,M,449,54,8.314815
Previous-Sham,M,404,54,7.481481
Previous-Sham,M,493,54,9.12963
Previous-Sham,M,537,54,9.944444
Previous-Sham,M,443,54,8.203704
Previous-Sham,M,378,54,7
Previous-Sham,M,339,54,6.277778
Previous-Sham,M,434,54,8.037037
Previous-Sham,M,409,54,7.574074
Previous-Sham,M,433,54,8.018519
Previous-Sham,M,431,54,7.981481
Previous-Sham,M,461,54,8.537037
Previous-Sham,M,489,54,9.055556
Previous-Sham,M,331,54,6.12963
Previous-Sham,M,480,55,8.727273
Previous-Sham,M,467,56,8.339286
Previous-Sham,M,409,56,7.303571
Previous-Sham,F,418,46,9.086957
Previous-Sham,F,417,48,8.6875
Previous-Sham,F,415,49,8.469388
Previous-Sham,F,439,49,8.959184
Previous-Sham,F,417,49,8.510204
Previous-Sham,F,436,49,8.897959
Previous-Sham,F,429,49,8.755102
Previous-Sham,F,439,49,8.959184
Previous-Sham,F,467,49,9.530612
Previous-Sham,F,507,49,10.34694
Previous-Sham,F,502,49,10.2449
Previous-Sham,F,501,50,10.02
Previous-Sham,F,384,50,7.68
Previous-Sham,F,406,50,8.12
Previous-Sham,F,397,50,7.94
Previous-Sham,F,496,50,9.92
Previous-Sham,F,430,50,8.6
Previous-Sham,F,474,50,9.48
Previous-Sham,F,499,50,9.98
Previous-Sham,F,472,50,9.44
Previous-Sham,F,458,50,9.16
Previous-Sham,F,506,50,10.12
Previous-Sham,F,521,50,10.42
Previous-Sham,F,417,50,8.34
Previous-Sham,F,474,50,9.48
Previous-Sham,F,487,50,9.74
Previous-Sham,F,517,51,10.13725
Previous-Sham,F,455,51,8.921569
Previous-Sham,F,538,51,10.54902
Previous-Sham,F,427,51,8.372549
Previous-Sham,F,491,51,9.627451
Previous-Sham,F,463,51,9.078431
Previous-Sham,F,523,51,10.2549
Previous-Sham,F,478,51,9.372549
Previous-Sham,F,530,51,10.39216
Previous-Sham,F,445,51,8.72549
Previous-Sham,F,450,51,8.823529
Previous-Sham,F,450,51,8.823529
Previous-Sham,F,405,51,7.941176
Previous-Sham,F,441,51,8.647059
Previous-Sham,F,461,52,8.865385
Previous-Sham,F,528,52,10.15385
Previous-Sham,F,337,52,6.480769
Previous-Sham,F,459,52,8.826923
Previous-Sham,F,560,57,9.824561
Previous-23.2,M,320,45,7.111111
Previous-23.2,M,382,46,8.304348
Previous-23.2,M,412,48,8.583333
Previous-23.2,M,505,48,10.52083
Previous-23.2,M,449,49,9.163265
Previous-23.2,M,401,49,8.183673
Previous-23.2,M,450,49,9.183673
Previous-23.2,M,432,49,8.816327
Previous-23.2,M,404,49,8.244898
Previous-23.2,M,477,49,9.734694
Previous-23.2,M,480,49,9.795918
Previous-23.2,M,480,49,9.795918
Previous-23.2,M,423,49,8.632653
Previous-23.2,M,511,49,10.42857
Previous-23.2,M,467,50,9.34
Previous-23.2,M,478,50,9.56
Previous-23.2,M,421,50,8.42
Previous-23.2,M,408,50,8.16
Previous-23.2,M,457,50,9.14
Previous-23.2,M,519,51,10.17647
Previous-23.2,M,455,51,8.921569
Previous-23.2,M,524,51,10.27451
Previous-23.2,M,456,51,8.941176
Previous-23.2,M,444,51,8.705882
Previous-23.2,M,427,51,8.372549
Previous-23.2,M,456,51,8.941176
Previous-23.2,M,457,51,8.960784
Previous-23.2,M,497,51,9.745098
Previous-23.2,M,449,51,8.803922
Previous-23.2,M,459,51,9
Previous-23.2,M,363,51,7.117647
Previous-23.2,M,427,51,8.372549
Previous-23.2,M,377,51,7.392157
Previous-23.2,M,454,51,8.901961
Previous-23.2,M,384,52,7.384615
Previous-23.2,M,431,52,8.288462
Previous-23.2,M,401,52,7.711538
Previous-23.2,M,448,52,8.615385
Previous-23.2,M,495,52,9.519231
Previous-23.2,M,454,52,8.730769
Previous-23.2,M,427,52,8.211538
Previous-23.2,M,434,52,8.346154
Previous-23.2,M,525,52,10.09615
Previous-23.2,M,409,52,7.865385
Previous-23.2,M,449,52,8.634615
Previous-23.2,M,489,53,9.226415
Previous-23.2,M,479,53,9.037736
Previous-23.2,M,448,53,8.45283
Previous-23.2,M,408,53,7.698113
Previous-23.2,M,484,53,9.132075
Previous-23.2,M,468,53,8.830189
Previous-23.2,M,295,54,5.462963
Previous-23.2,M,439,55,7.981818
Previous-23.2,M,549,58,9.465517
Previous-23.2,F,485,47,10.31915
Previous-23.2,F,465,47,9.893617
Previous-23.2,F,509,47,10.82979
Previous-23.2,F,434,48,9.041667
Previous-23.2,F,506,48,10.54167
Previous-23.2,F,460,48,9.583333
Previous-23.2,F,564,48,11.75
Previous-23.2,F,510,48,10.625
Previous-23.2,F,497,48,10.35417
Previous-23.2,F,581,48,12.10417
Previous-23.2,F,517,48,10.77083
Previous-23.2,F,471,48,9.8125
Previous-23.2,F,499,48,10.39583
Previous-23.2,F,529,49,10.79592
Previous-23.2,F,527,49,10.7551
Previous-23.2,F,624,49,12.73469
Previous-23.2,F,464,49,9.469388
Previous-23.2,F,519,49,10.59184
Previous-23.2,F,427,49,8.714286
Previous-23.2,F,431,49,8.795918
Previous-23.2,F,380,49,7.755102
Previous-23.2,F,542,49,11.06122
Previous-23.2,F,449,49,9.163265
Previous-23.2,F,473,49,9.653061
Previous-23.2,F,554,49,11.30612
Previous-23.2,F,518,49,10.57143
Previous-23.2,F,536,49,10.93878
Previous-23.2,F,545,50,10.9
Previous-23.2,F,566,50,11.32
Previous-23.2,F,457,50,9.14
Previous-23.2,F,575,50,11.5
Previous-23.2,F,445,50,8.9
Previous-23.2,F,446,50,8.92
Previous-23.2,F,479,50,9.58
Previous-23.2,F,368,50,7.36
Previous-23.2,F,577,50,11.54
Previous-23.2,F,463,51,9.078431
Previous-23.2,F,498,51,9.764706
Previous-23.2,F,485,51,9.509804
Previous-23.2,F,489,51,9.588235
Previous-23.2,F,509,51,9.980392
Previous-23.2,F,489,51,9.588235
Previous-23.2,F,550,52,10.57692
Previous-23.2,F,577,52,11.09615
Previous-23.2,F,527,54,9.759259
Previous-23.2,F,644,57,11.29825
Previous-23.2,F,618,57,10.84211
