Group,Sex,Weight,Mat-Time,Growth-Rate
New-Sham,M,315,50,6.3
New-Sham,M,537,52,10.32692
New-Sham,M,412,53,7.773585
New-Sham,M,464,53,8.754717
New-Sham,M,424,53,8
New-Sham,M,505,54,9.351852
New-Sham,M,400,54,7.407407
New-Sham,M,407,54,7.537037
New-Sham,M,465,54,8.611111
New-Sham,M,462,54,8.555556
New-Sham,M,433,54,8.018519
New-Sham,M,485,54,8.981481
New-Sham,M,424,54,7.851852
New-Sham,M,383,54,7.092593
New-Sham,M,475,54,8.796296
New-Sham,M,471,54,8.722222
New-Sham,M,456,55,8.290909
New-Sham,M,404,55,7.345455
New-Sham,M,451,55,8.2
New-Sham,M,410,55,7.454545
New-Sham,M,406,55,7.381818
New-Sham,M,403,55,7.327273
New-Sham,M,412,55,7.490909
New-Sham,M,464,55,8.436364
New-Sham,M,419,55,7.618182
New-Sham,M,460,55,8.363636
New-Sham,M,458,55,8.327273
New-Sham,M,432,56,7.714286
New-Sham,M,359,56,6.410714
New-Sham,M,484,56,8.642857
New-Sham,M,442,56,7.892857
New-Sham,M,423,56,7.553571
New-Sham,M,441,56,7.875
New-Sham,M,367,56,6.553571
New-Sham,M,466,56,8.321429
New-Sham,M,417,56,7.446429
New-Sham,M,412,56,7.357143
New-Sham,M,365,56,6.517857
New-Sham,M,453,56,8.089286
New-Sham,M,404,56,7.214286
New-Sham,M,475,56,8.482143
New-Sham,M,379,56,6.767857
New-Sham,M,425,57,7.45614
New-Sham,M,421,57,7.385965
New-Sham,M,424,57,7.438596
New-Sham,M,484,57,8.491228
New-Sham,M,388,57,6.807018
New-Sham,M,448,57,7.859649
New-Sham,M,349,57,6.122807
New-Sham,M,375,58,6.465517
New-Sham,M,434,58,7.482759
New-Sham,M,440,58,7.586207
New-Sham,M,383,58,6.603448
New-Sham,M,478,58,8.241379
New-Sham,M,530,59,8.983051
New-Sham,F,448,50,8.96
New-Sham,F,437,51,8.568627
New-Sham,F,444,52,8.538462
New-Sham,F,520,52,10
New-Sham,F,471,52,9.057692
New-Sham,F,549,52,10.55769
New-Sham,F,429,52,8.25
New-Sham,F,365,52,7.019231
New-Sham,F,431,52,8.288462
New-Sham,F,414,52,7.961538
New-Sham,F,474,52,9.115385
New-Sham,F,556,52,10.69231
New-Sham,F,504,52,9.692308
New-Sham,F,491,52,9.442308
New-Sham,F,407,52,7.826923
New-Sham,F,376,53,7.09434
New-Sham,F,451,53,8.509434
New-Sham,F,460,53,8.679245
New-Sham,F,545,53,10.28302
New-Sham,F,488,53,9.207547
New-Sham,F,470,53,8.867925
New-Sham,F,474,53,8.943396
New-Sham,F,433,53,8.169811
New-Sham,F,418,53,7.886792
New-Sham,F,422,53,7.962264
New-Sham,F,432,53,8.150943
New-Sham,F,463,53,8.735849
New-Sham,F,410,53,7.735849
